0.0000001027, 0.0000017247, 0.0000006279
0.0000001621, 0.0000024493, 0.0000011060
0.0000002558, 0.0000034782, 0.0000019480
0.0000004035, 0.0000049396, 0.0000034311
0.0000006365, 0.0000070156, 0.0000060429
0.0000010040, 0.0000099649, 0.0000106423
0.0000015834, 0.0000141559, 0.0000187420
0.0000024968, 0.0000201119, 0.0000330062
0.0000039372, 0.0000285770, 0.0000581301
0.0000062087, 0.0000406093, 0.0001023836
0.0000097912, 0.0000577093, 0.0001803317
0.0000154424, 0.0000820122, 0.0003176265
0.0000243572, 0.0001165517, 0.0005594502
0.0000384211, 0.0001656439, 0.0009853765
0.0000606100, 0.0002354351, 0.0017953135
0.0000956229, 0.0003346605, 0.0037498247
0.0001572719, 0.0004757186, 0.0078104543
0.0003063062, 0.0006761967, 0.0141151070
0.0008145689, 0.0009663328, 0.0217574740
0.0023591224, 0.0018171884, 0.0292123510
0.0055669079, 0.0044523706, 0.0351145195
0.0099132827, 0.0113947565, 0.0392951035
0.0142583510, 0.0234914510, 0.0421838070
0.0179623375, 0.0380346310, 0.0446363930
0.0209268770, 0.0508577210, 0.0474895760
0.0235902565, 0.0601209585, 0.0507834830
0.0266113425, 0.0667404715, 0.0545656105
0.0300423485, 0.0720233805, 0.0585727245
0.0337461420, 0.0766298775, 0.0622176285
0.0375855475, 0.0809698700, 0.0647682570
0.0418360495, 0.0855725520, 0.0664323385
0.0462928510, 0.0907965210, 0.0676017220
0.0504325515, 0.0958046295, 0.0687962285
0.0541611850, 0.0999741275, 0.0706015195
0.0580627640, 0.1027590315, 0.0736801140
0.0621441360, 0.1047453230, 0.0778289400
0.0663396265, 0.1064144550, 0.0830683220
0.0707044895, 0.1085344315, 0.0893643835
0.0752722360, 0.1120636000, 0.0962105530
0.0795919260, 0.1178325500, 0.1032067510
0.0837020650, 0.1259214900, 0.1099841150
0.0884396100, 0.1361480850, 0.1160785300
0.0938037000, 0.1483377600, 0.1213859400
0.0993922930, 0.1613406850, 0.1259836400
0.1044224250, 0.1739025250, 0.1298562500
0.1090153100, 0.1862211000, 0.1333900300
0.1134044350, 0.1974406600, 0.1366930550
0.1176117500, 0.2059946500, 0.1397815600
0.1223047750, 0.2118240300, 0.1427784150
0.1274858250, 0.2168491800, 0.1457677000
0.1331855700, 0.2220888950, 0.1488305500
0.1392734900, 0.2285849550, 0.1522808800
0.1453261850, 0.2366399000, 0.1563866750
0.1518239600, 0.2459263800, 0.1612734800
0.1583360650, 0.2562954250, 0.1670788450
0.1656527150, 0.2660133550, 0.1739602300
0.1744487400, 0.2713810000, 0.1823718200
0.1854172050, 0.2738734550, 0.1918109500
0.1984533100, 0.2746603200, 0.2018677750
0.2127933300, 0.2743847850, 0.2119750200
0.2273300550, 0.2736132050, 0.2215320900
0.2403419800, 0.2726722600, 0.2306425700
0.2523282300, 0.2727669500, 0.2392730700
0.2626271800, 0.2746236500, 0.2469853650
0.2705729600, 0.2793424050, 0.2537291250
0.2737335450, 0.2881047750, 0.2597028700
0.2738686650, 0.3003364950, 0.2651968300
0.2731312950, 0.3152061400, 0.2707874600
0.2725362600, 0.3321387000, 0.2772206100
0.2729796950, 0.3502226450, 0.2847463500
0.2747299700, 0.3689300250, 0.2934494300
0.2782659800, 0.3879865300, 0.3026883600
0.2833442100, 0.4066330650, 0.3112947050
0.2897457300, 0.4241768600, 0.3179048900
0.2966181000, 0.4387497450, 0.3208968750
0.3034050500, 0.4483163950, 0.3226919600
0.3104690050, 0.4508529900, 0.3248986300
0.3200824300, 0.4488066000, 0.3284999000
0.3313671800, 0.4444591400, 0.3340007350
0.3437390500, 0.4396079750, 0.3415999150
0.3565978600, 0.4355429400, 0.3515387750
0.3690074650, 0.4335227000, 0.3637449900
0.3810071800, 0.4348759200, 0.3777143200
0.3927865500, 0.4407039000, 0.3924315600
0.4044206850, 0.4501756450, 0.4071762900
0.4159985450, 0.4628106800, 0.4209829700
0.4272713950, 0.4778541900, 0.4327032100
0.4379667950, 0.4942986500, 0.4435913550
0.4483360050, 0.5108683100, 0.4548130800
0.4583925300, 0.5264777700, 0.4665503800
0.4680012600, 0.5399718150, 0.4784202850
0.4764773550, 0.5509002950, 0.4900179350
0.4836102400, 0.5583281400, 0.5007817600
0.4889965650, 0.5635668050, 0.5107415050
0.4932769400, 0.5696116950, 0.5199317150
0.4970151150, 0.5787192600, 0.5282703050
0.5007743850, 0.5939208000, 0.5354848800
0.5056874750, 0.6137372250, 0.5420189200
0.5132564600, 0.6372684550, 0.5480617300
0.5248621100, 0.6635551450, 0.5537549250
0.5420306600, 0.6912624550, 0.5591165100
0.5665431050, 0.7190396200, 0.5641456850
0.5957779600, 0.7453795050, 0.5689323550
